0,1.968131,0
0,1.354758,0
0.07282705,1.5,0.5065337
0.1766436,1.5,1.005119
0.4245694,1.5,1.606282
0.8548696,1.500005,2.254416
1.235878,1.500005,2.727175
1.672259,1.500005,3.22903
2.152177,1.500005,3.756191
2.666644,1.5,4.305035
3.205949,1.5,4.87501
3.765149,1.464,5.489543
4.348022,1.29804,6.203654
4.638087,1.174236,6.596909
4.924541,1.026813,7.012453
5.209949,1.938131,7.454412
5.494436,2.722318,7.920192
5.778111,3.392086,8.407458
6.061077,3.958878,8.914111
6.343423,4.43299,9.438258
6.625231,4.82369,9.978198
6.906574,5.139321,10.5324
7.187518,5.387389,11.09948
7.467927,5.57465,11.67773
7.747877,5.707185,12.26608
8.027431,5.790467,12.86356
8.306647,5.82942,13.46931
8.585818,5.828478,14.08246
8.866268,5.79163,14.70175
9.149063,5.722466,15.32611
9.436541,5.62422,15.95386
9.731658,5.499798,16.58289
10.03468,5.351818,17.21253
10.34506,5.182636,17.84265
10.6621,4.994372,18.47322
10.98514,4.788935,19.10426
11.31363,4.568042,19.73576
11.64703,4.333238,20.36772
11.98478,4.085914,21.00021
12.32556,3.827322,21.63372
12.66708,3.55859,22.26934
13.00496,3.280731,22.90901
13.33409,2.994658,23.55461
13.64972,2.726392,24.20762
13.94486,2.474153,24.86939
14.21166,2.236337,25.54017
14.04233,2.011504,26.21826
14.00847,1.798353,26.90174
13.24117,2.675718,27.58641
12.51205,3.429346,28.26806
11.80875,4.071611,28.94118
11.12219,4.61365,29.60096
10.44582,5.065485,30.24346
9.775473,5.436136,30.86648
9.108399,5.733723,31.46893
8.442398,5.96555,32.04994
7.777182,6.138195,32.61147
7.112898,6.257576,33.15594
6.449964,6.329018,33.686
5.789197,6.357316,34.2047
5.1313,6.346784,34.71465
4.477966,6.301305,35.21957
3.830933,6.224375,35.72284
3.191988,6.119137,36.22748
2.562217,5.988423,36.73542
1.943956,5.834781,37.24953
1.336718,5.660502,37.76986
0.7387658,5.467652,38.29528
0.1003873,5.316787,38.87868
-0.5684613,5.201069,39.50831
-1.258795,5.114135,40.17407
-1.964094,5.051914,40.86832
-2.680702,5.01432,41.58667
-3.404352,5.001334,42.3249
-4.130153,5.012964,43.08018
-4.851995,5.049196,43.85066
-5.561482,5.109938,44.63566
-6.247674,5.194948,45.43491
-6.900512,5.303767,46.24637
-7.505829,5.435639,47.06726
-8.054628,5.589454,47.89225
-8.54191,5.763715,48.71531
-8.964415,5.956537,49.53027
-9.320158,6.165692,50.33113
-9.607499,6.388673,51.11195
-9.825348,6.622789,51.86691
-9.976753,6.865268,52.59238
-10.067,7.113348,53.28639
-9.775947,7.300619,54.6162
-9.476668,7.433164,55.88094
-9.168548,7.516454,57.08636
-8.849891,7.555415,58.23689
-8.519794,7.55448,59.33682
-8.176272,7.517638,60.38905
-7.819881,7.44848,61.39782
-7.451446,7.350238,62.36719
-7.071924,7.225821,63.30096
-6.681753,7.077845,64.20225
-6.28133,6.908667,65.07381
-5.869876,6.720406,65.91718
-5.446933,6.514972,66.73386
-5.013516,6.294081,67.52645
-4.570636,6.059279,68.29741
-4.119307,5.811957,69.04903
-3.66064,5.553368,69.78355
-3.19554,5.284637,70.50291
-2.724717,5.00678,71.20876
-2.24881,4.720708,71.90257
-1.768192,4.427244,72.5855
-1.282994,4.127126,73.2584
-0.7934359,3.82102,73.92212
-0.2997167,3.509524,74.57743
0.1980853,3.193178,75.22494
0.6999988,2.872467,75.86508
1.206147,2.547827,76.49817
1.716736,2.21965,77.12437
2.231652,1.888292,77.74411
2.750597,1.554069,78.35798
3.273203,1.217269,78.96661
3.799142,1.958148,79.57055
4.328116,2.58894,80.17031
4.859859,3.120652,80.76635
5.394128,3.563194,81.35907
5.929954,3.925481,81.94886
6.466324,4.215539,82.53691
7.00211,4.440592,83.12446
7.536275,4.607139,83.7126
8.066912,4.721032,84.3031
8.59322,4.787535,84.89671
9.114681,4.811388,85.4939
9.630817,4.796856,86.09512
10.14062,4.747777,86.70113
10.64117,4.667606,87.31383
11.12923,4.559452,87.93503
11.60349,4.426114,88.56525
12.0589,4.270109,89.20648
12.49421,4.093704,89.8588
12.90481,3.89894,90.52306
13.28693,3.687653,91.1994
13.63638,3.461494,91.88746
13.95102,3.247151,92.58659
14.23113,3.043443,93.29593
14.04623,2.849305,94.01324
14.00924,2.663781,94.73536
13.95267,2.486009,95.45869
13.86476,2.315215,96.18199
13.02135,3.2307,96.90141
12.21642,4.018637,97.61637
11.44599,4.69178,98.32727
10.70657,5.261608,99.03456
9.995024,5.738454,99.73865
9.308545,6.131615,100.4399
8.644595,6.44946,101.1386
8.000892,6.699521,101.8351
7.375381,6.888575,102.5297
6.766215,7.022724,103.2225
6.171731,7.107458,103.9138
5.590312,7.147719,104.6037
5.020978,7.147954,105.2927
4.463328,7.112164,105.9814
3.916524,7.043954,106.6701
3.379817,6.946566,107.3592
2.852894,6.822916,108.049
2.335975,6.675631,108.7403
1.784449,6.546301,109.5149
1.209134,6.430144,110.3553
0.6188353,6.322582,111.2452
0.01780277,6.222276,112.1753
-0.5922468,6.130272,113.141
-1.209699,6.047674,114.1379
-1.833017,5.975649,115.1619
-2.460711,5.915435,116.2092
-3.091314,5.868338,117.2761
-3.722982,5.835733,118.3584
-4.354237,5.819051,119.4526
-4.983524,5.819757,120.555
-5.609185,5.839314,121.6619
-6.229422,5.879122,122.7693
-6.842275,5.940433,123.8729
-7.445103,6.02423,124.9684
-8.035159,6.131077,126.0514
-8.609638,6.26096,127.1169
-9.165757,6.413134,128.1602
-9.701008,6.586036,129.1762
-10.21262,6.777278,130.1608
-11.01293,6.913397,131.7745
-11.76713,6.999904,133.3026
-12.47985,7.041759,134.7539
-13.15514,7.04343,136.1359
-13.79581,7.008933,137.4563
-14.40443,6.941886,138.7215
-14.98272,6.845544,139.9376
-15.53252,6.722836,141.1103
-16.05616,6.576399,142.2439
-16.55612,6.408606,143.3426
-17.03465,6.221591,144.41
-17.49406,6.017279,145.4491
-17.93669,5.797397,146.4627
-18.36464,5.563504,147.4532
-18.7798,5.317,148.4229
-19.18361,5.059146,149.3737
-19.5775,4.791078,150.3076
-19.96262,4.513817,151.2262
-20.34081,4.228281,152.1308
-20.71413,3.9353,153.0221
-21.08471,3.635616,153.901
-21.45445,3.329901,154.7678
-21.8245,3.018758,155.6235
-22.19616,3.782728,156.4684
-22.57035,4.434302,157.3031
-22.94799,4.984718,158.1281
-23.32993,5.444093,158.9437
-23.71765,5.82153,159.7498
-24.11185,6.125223,160.5467
-24.51427,6.362547,161.3336
-24.92591,6.540139,162.1105
-25.34895,6.663972,162.876
-25.78557,6.739421,163.6285
-26.23917,6.771325,164.365
-26.71291,6.764039,165.0816
-27.2072,6.721481,165.7774
-27.72587,6.64718,166.4455
-28.27001,6.544308,167.0819
-28.83859,6.415724,167.6849
-29.43093,6.263998,168.2531
-30.0459,6.116645,168.7867
-30.68204,5.973227,169.2873
-31.43912,5.833351,169.3783
-32.18351,5.696662,169.5554
-32.93245,5.562842,169.7516
-33.69021,5.431604,169.9486
-34.45638,5.302691,170.1458
-35.23049,5.175868,170.343
-36.73217,6.130928,170.5397
-38.16917,6.979681,170.7353
-39.54847,7.732759,170.9289
-40.86819,8.37453,171.1186
-42.13437,8.916123,171.3045
-43.35242,9.367558,171.4871
-44.52718,9.737848,171.6667
-45.66304,10.03511,171.8436
-46.76392,10.26665,172.0181
-47.83341,10.43903,172.1904
-48.87473,10.55817,172.3602
-49.89075,10.6294,172.528
-50.88405,10.65751,172.6939
-51.85697,10.6468,172.858
-52.8195,10.60117,173.022
-53.77274,10.5241,173.1856
-54.71777,10.41873,173.3486
-55.65554,10.28791,173.5105
-56.58698,10.13416,173.6705
-57.51298,9.959793,173.8275
-58.43446,9.76686,173.9795
-59.35212,9.55722,174.1249
-60.26669,9.332545,174.261
-61.17859,9.094337,174.3871
-62.08822,8.84395,174.5006
-62.99583,8.582602,174.6007
-63.90165,8.311388,174.6875
-64.80587,8.031296,174.7617
-65.70869,7.743213,174.824
-66.61028,7.447938,174.8755
-67.5108,7.146191,174.9169
-68.41042,6.838618,174.9493
-69.30926,6.525803,174.9734
-70.20746,6.20827,174.9901
-71.10514,5.886489,175.0002
-72.0024,5.560887,175.0044
-72.89939,5.231845,175.0043
-73.79626,4.899708,175.0025
-74.69307,4.564784,175.0019
-75.58981,4.227352,175.0053
-76.49604,3.887664,175.0168
-77.41071,3.545944,175.0373
-78.33289,3.202396,175.067
-79.26183,2.857203,175.1055
-80.1969,2.51053,175.1521
-81.13759,2.162524,175.2054
-82.08342,1.813318,175.2645
-83.03406,1.463033,175.3276
-83.87518,1.49261,175.3857
-84.72729,1.498526,175.4454
-85.58446,1.499709,175.5053
-86.44528,1.499946,175.5647
-87.30927,1.499993,175.6233
-88.17615,1.500003,175.6807
-89.04566,1.500005,175.7369
-89.91761,1.500001,175.7921
-90.79179,1.5,175.8463
-91.66806,1.5,175.8993
-92.55709,2.544,175.9506
-93.44857,3.4476,175.998
